ID,Usable FIPS,Usable STATE
522215611,32003.0,NEVADA
808057512683520000,55113.0,WISCONSIN
2193215372,36067.0,NEW YORK
530857916,27053.0,MINNESOTA
14247284,48439.0,TEXAS
256861656,,NEW YORK
415773859,25025.0,MASSACHUSETTS
907277085546348544,,TEXAS
543782362,41051.0,OREGON
1677184237,25025.0,MASSACHUSETTS
59567851,37047.0,NORTH CAROLINA
437555380,,TEXAS
16004848,6107.0,CALIFORNIA
2929402706,48083.0,TEXAS
28181428,,ALABAMA
23388276,51087.0,VIRGINIA
1100887894787526656,,NEW MEXICO
20941765,53033.0,WASHINGTON
52498056,,KENTUCKY
39624898,,COLORADO
4655627235,26073.0,MICHIGAN
29497044,42027.0,PENNSYLVANIA
252244987,,NEW YORK
24547707,,COLORADO
25658340,11001.0,"WASHINGTON, D.C."
907325901666484224,20157.0,KANSAS
1201502471497113600,12095.0,FLORIDA
2635562090,54077.0,WEST VIRGINIA
3318238316,,TEXAS
1272044509,17043.0,ILLINOIS
264405254,48279.0,TEXAS
75277136,,MICHIGAN
1119807258,39037.0,OHIO
2857831,,MARYLAND
44928266,17031.0,ILLINOIS
3409529645,12105.0,FLORIDA
254694479,47093.0,TENNESSEE
27968589,22071.0,LOUISIANA
34187507,36067.0,NEW YORK
1162036333113573376,55079.0,WISCONSIN
224245536,48279.0,TEXAS
2619258624,56025.0,WYOMING
781858658812620800,4019.0,ARIZONA
74240229,,IOWA
174290696,36067.0,NEW YORK
1180871210542010368,11001.0,"WASHINGTON, D.C."
1680076184,,NEW JERSEY
110513746,39061.0,OHIO
25427721,,FLORIDA
1025059809933045760,,ILLINOIS
1072869038785748992,26081.0,MICHIGAN
2904067269,37119.0,NORTH CAROLINA
787164004858925056,,NEW YORK
90827977,,COLORADO
1106507400,25025.0,MASSACHUSETTS
17566099,45019.0,SOUTH CAROLINA
196198734,,ILLINOIS
844756201938206720,,UTAH
165622096,,NEW YORK
132229459,26163.0,MICHIGAN
556223359,,NEW JERSEY
383993470,11001.0,"WASHINGTON, D.C."
21902208,6037.0,CALIFORNIA
1011772683980234752,41051.0,OREGON
104566391,,ALABAMA
940277934329356288,18097.0,INDIANA
15142117,42059.0,PENNSYLVANIA
3160117550,8069.0,COLORADO
2198817853,20157.0,KANSAS
184169744,6073.0,CALIFORNIA
89770303,,INDIANA
371851382,12099.0,FLORIDA
25259081,,IOWA
266025777,13121.0,GEORGIA
133804848,,ILLINOIS
883858851933691904,,NEW YORK
1054300794386898944,,NEW JERSEY
14871593,53033.0,WASHINGTON
432173912,,OHIO
462581655,12105.0,FLORIDA
902567978,,CALIFORNIA
1178714451266199552,,NEW YORK
719741383561650176,35001.0,NEW MEXICO
2965507751,39113.0,OHIO
36275878,48113.0,TEXAS
90877603,48279.0,TEXAS
753931398,53009.0,WASHINGTON
2989117548,21235.0,KENTUCKY
2176714855,53033.0,WASHINGTON
13410,18097.0,INDIANA
635048260,11001.0,"WASHINGTON, D.C."
25248496,50007.0,VERMONT
1163892718600409088,,OHIO
1033586235854467072,39035.0,OHIO
770135542252052480,,ALABAMA
76461347,39035.0,OHIO
20008396,25025.0,MASSACHUSETTS
32900549,11001.0,"WASHINGTON, D.C."
350376223,12086.0,FLORIDA
2679943411,,MISSOURI
246112866,48279.0,TEXAS
3048200891,34041.0,NEW JERSEY
30464793,,TEXAS
938716291,56025.0,WYOMING
43192647,,IOWA
87788695,,OHIO
1514051,,NEW YORK
18130369,25027.0,MASSACHUSETTS
846053714813181952,37135.0,NORTH CAROLINA
152048311,,PENNSYLVANIA
4458421461,47037.0,TENNESSEE
84196561,48073.0,TEXAS
896401573,53033.0,WASHINGTON
2716235946,18129.0,INDIANA
1150095352520986624,39079.0,OHIO
550759944,37183.0,NORTH CAROLINA
995772053876699136,,CALIFORNIA
20271215,53033.0,WASHINGTON
46810653,21067.0,KENTUCKY
299825274,,LOUISIANA
2749741186,20091.0,KANSAS
39635084,,FLORIDA
322735335,,NEW YORK
112360665,53033.0,WASHINGTON
136728799,,MINNESOTA
1027779719603937280,,NEW YORK
4019241677,,NEW YORK
3136672255,,TEXAS
458861763,11001.0,"WASHINGTON, D.C."
848440530472058880,,ALASKA
27752922,25025.0,MASSACHUSETTS
260764123,,PENNSYLVANIA
954802121630797824,36067.0,NEW YORK
39772665,,FLORIDA
789054295521890304,48439.0,TEXAS
722561640,34035.0,NEW JERSEY
266935670,,FLORIDA
1959183054,,LOUISIANA
17728037,41051.0,OREGON
973671875644706816,26081.0,MICHIGAN
4769212968,48279.0,TEXAS
1884146719,,COLORADO
1596545582,36067.0,NEW YORK
1074838098,13121.0,GEORGIA
870507578,20177.0,KANSAS
256769081,34039.0,NEW JERSEY
45435324,,CONNECTICUT
391865753,,ARIZONA
17339015,37123.0,NORTH CAROLINA
1527999896,,TEXAS
602243445,11001.0,"WASHINGTON, D.C."
16522120,13121.0,GEORGIA
2440127498,,COLORADO
1151640253322727424,,OKLAHOMA
984833811878887424,11001.0,"WASHINGTON, D.C."
1458649777,4025.0,ARIZONA
965057579515764736,55103.0,WISCONSIN
324457103,,NEW YORK
57674084,,UTAH
2196515456,50005.0,VERMONT
27992689,8041.0,COLORADO
301686331,36067.0,NEW YORK
100973954,,FLORIDA
852972234356305920,,ARIZONA
136004909,28067.0,MISSISSIPPI
900151602476077056,6059.0,CALIFORNIA
1256753802,12105.0,FLORIDA
1059598381956370432,,NEW YORK
933226201,51143.0,VIRGINIA
1680205513,42065.0,PENNSYLVANIA
222837265,11001.0,"WASHINGTON, D.C."
1345586917,32033.0,NEVADA
