ID,Num CT Tweets,Searched
879794669273702400,1,0
943716203385761792,1,0
1081436317668528128,40,0
15548877,26,0
501322820,1,0
1884146719,1,0
1097761541993177090,1,0
3951610396,1,0
822868653095915521,3,0
2841021495,25,0
45435324,122,0
17339015,9,0
1325850234,14,0
1191351700486909952,1,0
1160964139440857088,1,0
791165662357966848,6,0
14879348,14,0
1212001723012616193,1,0
1215121951661772800,1,0
1060768267378286592,12,0
2960835476,1,0
810078255961227265,2,0
704999960,27,0
329345563,22,0
854725226,3,0
837896031429775362,3,0
389318167,80,0
145898865,1,0
387635929,2,0
201590102,5,0
866854704,180,0
2873997512,2,0
999164329986420737,1,0
965748930234462208,16,0
29364004,3,0
867966382700240896,12,0
69080516,1,0
715047028930248707,9,0
18709354,1,0
834937681,6,0
741833762665811972,19,0
2370037404,2,0
786656240445161472,4,0
1214861131736588288,1,0
309639154,1,0
2455115335,36,0
899893413373517824,1,0
48036425,15,0
869472613332078592,4,0
739309526747250688,35,0
897674792,14,0
153519312,15,0
72906858,52,0
32608311,2,0
2487229174,10,0
58625636,78,0
16496530,9,0
975589089620578304,9,0
31019756,1,0
446632500,1,0
2959654959,16,0
79867416,13,0
456785514,1,0
107222308,32,0
1108500645470973952,21,0
259035492,1,0
993782191439208449,74,0
1155920622725320705,2,0
1223189515,25,0
1176222149197127681,18,0
1173983951746228224,3,0
794630076138520576,11,0
914577898069164034,4,0
1029061738031771648,1,0
849323517527175169,1,0
36129624,5,0
1057334621602492417,9,0
15105310,13,0
2830320889,1,0
1020384619,79,0
726693199,1,0
2839176237,6,0
759196558957031424,2,0
1028378070175105025,2,0
157250767,1,0
2332947615,2,0
991833844742606848,4,0
977429166,11,0
52795858,4,0
24408575,43,0
110918110,1,0
1087053133237403648,5,0
74988238,346,0
1167448458,3,0
995896781505531905,4,0
1027293529,8,0
184517281,38,0
629928591,1,0
956281225987219456,1,0
833400622707793920,22,0
